Bank of China,12857,BrandFinance,2012
Comcast,12472,BrandFinance,2012
Sony,12358,BrandFinance,2012
T (Deutsche Telekom),12046,BrandFinance,2012
Olay,11756,BrandFinance,2012
Dell,11605,BrandFinance,2012
JP Morgan,11602,BrandFinance,2012
Walgreens,11564,BrandFinance,2012
Sam's Club,11517,BrandFinance,2012
Generali,11168,BrandFinance,2012
Allianz,10951,BrandFinance,2012
Sberbank,10772,BrandFinance,2012
3M,10716,BrandFinance,2012
KPMG,10556,BrandFinance,2012
PetroChina,10491,BrandFinance,2012
BP,10222,BrandFinance,2012
FedEx,10072,BrandFinance,2012
Agricultural Bank of China,9929,BrandFinance,2012
UnitedHealthcare,9920,BrandFinance,2012
BT,9820,BrandFinance,2012
LG,9809,BrandFinance,2012
E.ON,9695,BrandFinance,2012
Deloitte,9660,BrandFinance,2012
 CVS Health,9421,BrandFinance,2012
ASDA,9406,BrandFinance,2012
Goldman Sachs,9332,BrandFinance,2012
Canon,9293,BrandFinance,2012
Panasonic,9233,BrandFinance,2012
Time Warner Cable,9140,BrandFinance,2012
SAP,9042,BrandFinance,2012
Boeing,9022,BrandFinance,2012
eBay,8959,BrandFinance,2012
Lowe's,8882,BrandFinance,2012
Sumitomo (Conglomerate),8881,BrandFinance,2012
Apple,87304,BrandFinance,2013
Samsung Group,58771,BrandFinance,2013
Google,52132,BrandFinance,2013
Microsoft,45535,BrandFinance,2013
Walmart,42303,BrandFinance,2013
IBM,37721,BrandFinance,2013
GE,37161,BrandFinance,2013
Amazon,36788,BrandFinance,2013
Coca-Cola,34205,BrandFinance,2013
Verizon,30729,BrandFinance,2013
AT&T,30406,BrandFinance,2013
Shell,29752,BrandFinance,2013
Vodafone,27009,BrandFinance,2013
Wells Fargo,26044,BrandFinance,2013
Toyota,25979,BrandFinance,2013
NTT Group,25926,BrandFinance,2013
Volkswagen,23666,BrandFinance,2013
The Home Depot,23423,BrandFinance,2013
Chase,23408,BrandFinance,2013
China Mobile,23296,BrandFinance,2013
BMW,23236,BrandFinance,2013
HSBC,22865,BrandFinance,2013
Bank of America,22397,BrandFinance,2013
Citi,21677,BrandFinance,2013
McDonald's,21642,BrandFinance,2013
